機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目,特約縣市,特約區域,機構電話,電子郵件,機構負責人姓名,特約起日,特約迄日,最後異動時間
穩將小客車租賃有限公司 ,BA1700001,BA,10002,10002020.0,宜蘭縣羅東鎮中山路1段137號,,,B,交通接送服務(DA01),10002,10002010;10002020;10002030;10002040;10002050;10002060;10002070;10002080;10002090;10002100,,wj600600@yahoo.com.tw,陳書瑤,20190101.0,20261231.0,20241222 12:59:13
清泉醫院,B20800175,B2,66000,66000180.0,臺中市大雅區三和里雅潭路四段80號,,,B,喘息服務,10007,10007010;10007020;10007030;10007040;10007050;10007060;10007070;10007080;10007090;10007100;10007110;10007120;10007130;10007140;10007150;10007160;10007170;10007180;10007190;10007200;10007210;10007220;10007230;10007240;10007250;10007260,04-25605600,-,羅永達,20230601.0,20261231.0,20231228 14:08:14
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),B21500180,B2,64000,64000110.0,高雄市小港區山明里山明路四八二號B1-10樓,,,C,巷弄長照站,64000,64000110,07 8036783,-,郭昭宏,20200301.0,20251231.0,20241125 16:54:36
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),B21500180,B2,64000,64000110.0,高雄市小港區山明里山明路四八二號B1-10樓,,,C,巷弄長照站,64000,64000130,07 8036783,-,郭昭宏,20200301.0,20251231.0,20241225 16:39:53
溫賀睿和醫院,B21500127,B2,64000,64000240.0,高雄市路竹區延平路５７號,,,C,巷弄長照站,64000,64000240,07 6963322,-,溫有諒,20210301.0,20231231.0,20230301 13:48:57
黃志豪職能治療所(新莊里),B20500027,B2,10018,10018010.0,新竹市東區新莊里新莊街263號,,,C,巷弄長照站,10018,10018010,0988-200-653,kirstysong@yahoo.com.tw,黃志豪,20230101.0,20231231.0,20230310 17:03:06
高雄市立中醫醫院,B21500160,B2,64000,64000070.0,高雄市前金區中華三路68號1-4樓部分樓層(新盛街入口),,,C,巷弄長照站,64000,64000080,07-2163186,-,嚴秀娟,20200301.0,20251231.0,20241125 16:42:52
高雄市立中醫醫院,B21500160,B2,64000,64000070.0,高雄市前金區中華三路68號1-4樓部分樓層(新盛街入口),,,C,巷弄長照站,64000,64000080,07-2163186,-,嚴秀娟,20200301.0,20251231.0,20241125 16:42:46
高雄市立中醫醫院,B21500160,B2,64000,64000070.0,高雄市前金區中華三路68號1-4樓部分樓層(新盛街入口),,,C,巷弄長照站,64000,64000080,07-2163186,-,嚴秀娟,20200301.0,20251231.0,20241125 16:42:27
光廷物理治療所,B20800232,B2,66000,66000040.0,臺中市西區五權五街133巷30號,,,B,專業照護服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-23724405,kt2019.ptclinic@gmail.com,施光庭,20250101.0,20271231.0,20241206 21:58:04
臺南市龍崎區崎頂里辦公處,BG1400070,BG,67000,67000300.0,臺南市龍崎區崎頂里新巿子201號2樓,,,C,巷弄長照站,67000,67000300,0978-650-758,longci2015@gmail.com,黃怡婷,20210101.0,20211231.0,20210128 10:28:11
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),B21500180,B2,64000,64000110.0,高雄市小港區山明里山明路四八二號B1-10樓,,,C,巷弄長照站,64000,64000110,07 8036783,-,郭昭宏,20200301.0,20251231.0,20241125 16:54:59
